landa;clean water;T_0;T_1;T_2;T_3;T_4;T_5;T_6;T_7;T_8;T_9;T_10;T_11;T_12;T_13;T_14;T_15;T_16;T_17;T_18;T_19;T_20;T_21;T_22;T_23;T_24;T_25;T_26;T_27;T_28;T_29;T_30;T_31;T_32;T_33;T_34;T_35
505.9;0.5716;-0.001744;-0.002055;-0.002052;-0.002373;-0.002935;-0.002592;-0.002240;-0.001855;-0.001717;-0.001216;-0.001221;-0.000915;-0.000662;-0.000819;-0.000620;-0.000517;-0.000612;-0.000444;-0.000103;-0.000250;-0.000048;-0.000049;-0.000034;0.000076;-0.000109;0.000000;-0.000222;-0.000424;-0.000221;-0.000356;0.000043;-0.000049;0.000189;0.000316;0.000599;0.000403
510.7;0.5917;-0.002415;-0.002688;-0.002847;-0.002936;-0.003007;-0.002721;-0.002413;-0.002397;-0.002184;-0.001821;-0.001538;-0.001247;-0.001261;-0.000996;-0.000817;-0.000779;-0.000630;-0.000522;-0.000414;-0.000216;-0.000264;-0.000387;-0.000231;-0.000069;-0.000103;0.000000;-0.000308;-0.000134;-0.000125;-0.000099;-0.000123;0.000003;0.000243;0.000372;0.000629;0.000193
515.4;0.6088;-0.002586;-0.002962;-0.002830;-0.002807;-0.003089;-0.003146;-0.002894;-0.002526;-0.002021;-0.001648;-0.001586;-0.001471;-0.001104;-0.001021;-0.000794;-0.000361;-0.000408;-0.000366;-0.000432;-0.000068;-0.000328;-0.000166;-0.000331;0.000090;-0.000020;0.000000;-0.000162;-0.000231;-0.000106;-0.000017;0.000275;0.000109;0.000358;0.000508;0.000833;0.000939
520.3;0.6281;-0.002523;-0.002759;-0.002875;-0.003216;-0.003639;-0.003119;-0.002708;-0.002443;-0.002316;-0.001652;-0.001668;-0.001324;-0.001159;-0.001094;-0.000872;-0.000867;-0.000877;-0.000529;-0.000196;-0.000400;-0.000220;-0.000182;-0.000228;-0.000060;-0.000172;0.000000;-0.000160;-0.000162;-0.000022;-0.000150;0.000109;0.000217;0.000382;0.000485;0.000816;0.000809
524.6;0.6467;-0.002964;-0.003296;-0.003398;-0.003376;-0.003328;-0.003263;-0.002979;-0.002915;-0.002476;-0.002118;-0.001861;-0.001647;-0.001362;-0.001216;-0.001027;-0.000770;-0.000639;-0.000582;-0.000622;-0.000309;-0.000494;-0.000452;-0.000424;-0.000176;-0.000118;0.000000;-0.000213;-0.000018;0.000031;0.000063;0.000180;0.000155;0.000503;0.000635;0.000761;0.000636
528.9;0.6618;-0.002945;-0.003314;-0.003234;-0.003325;-0.003776;-0.003699;-0.003328;-0.002903;-0.002382;-0.001843;-0.001760;-0.001570;-0.001132;-0.000995;-0.000824;-0.000532;-0.000667;-0.000532;-0.000306;-0.000279;-0.000341;-0.000227;-0.000232;-0.000046;-0.000164;0.000000;-0.000015;-0.000121;0.000099;0.000026;0.000339;0.000317;0.000578;0.000655;0.000996;0.001568
533.2;0.6777;-0.003422;-0.003543;-0.003722;-0.003961;-0.004134;-0.003586;-0.003169;-0.003067;-0.002834;-0.002140;-0.002017;-0.001649;-0.001451;-0.001231;-0.001139;-0.001056;-0.001141;-0.000616;-0.000619;-0.000771;-0.000546;-0.000521;-0.000351;-0.000301;-0.000200;0.000000;-0.000278;0.000001;-0.000001;0.000055;0.000211;0.000322;0.000568;0.000642;0.000905;0.000418
537.3;0.6942;-0.003536;-0.003957;-0.003926;-0.003800;-0.003914;-0.003875;-0.003595;-0.003322;-0.002763;-0.002347;-0.002095;-0.001905;-0.001517;-0.001256;-0.001077;-0.000828;-0.000530;-0.000687;-0.000777;-0.000371;-0.000538;-0.000476;-0.000399;-0.000233;-0.000219;0.000000;-0.000062;0.000097;0.000195;0.000308;0.000323;0.000388;0.000656;0.000758;0.001009;0.001059
541.6;0.7066;-0.003203;-0.003612;-0.003626;-0.003817;-0.004306;-0.004039;-0.003584;-0.003121;-0.002686;-0.001999;-0.001928;-0.001581;-0.001258;-0.001139;-0.000851;-0.000797;-0.000894;-0.000576;-0.000403;-0.000578;-0.000423;-0.000343;-0.000283;-0.000196;-0.000195;0.000000;-0.000002;-0.000081;0.000134;0.000163;0.000448;0.000503;0.000674;0.000786;0.001134;0.001553
545.9;0.7219;-0.003670;-0.004023;-0.004175;-0.004306;-0.004356;-0.003947;-0.003553;-0.003398;-0.003069;-0.002410;-0.002149;-0.001822;-0.001574;-0.001371;-0.001222;-0.001165;-0.000979;-0.000755;-0.000587;-0.000754;-0.000723;-0.000610;-0.000403;-0.000354;-0.000271;0.000000;-0.000142;0.000111;0.000188;0.000243;0.000240;0.000402;0.000647;0.000787;0.000928;0.000666
550.4;0.7348;-0.003479;-0.004024;-0.003945;-0.003868;-0.004110;-0.004037;-0.003709;-0.003339;-0.002678;-0.002206;-0.001893;-0.001663;-0.001293;-0.001102;-0.000848;-0.000585;-0.000512;-0.000639;-0.000658;-0.000354;-0.000646;-0.000487;-0.000343;-0.000196;-0.000154;0.000000;0.000059;0.000096;0.000268;0.000349;0.000521;0.000593;0.000738;0.000871;0.001152;0.001330
554.8;0.7479;-0.003633;-0.003989;-0.004020;-0.004224;-0.004584;-0.004127;-0.003676;-0.003189;-0.002817;-0.002059;-0.001862;-0.001452;-0.001175;-0.001029;-0.000855;-0.000850;-0.000842;-0.000636;-0.000373;-0.000668;-0.000515;-0.000395;-0.000320;-0.000186;-0.000225;0.000000;0.000024;0.000219;0.000240;0.000298;0.000579;0.000612;0.000796;0.000987;0.001217;0.001443
559.1;0.7589;-0.004150;-0.004494;-0.004539;-0.004452;-0.004495;-0.004161;-0.003773;-0.003548;-0.003042;-0.002453;-0.002038;-0.001704;-0.001508;-0.001295;-0.001122;-0.001026;-0.000794;-0.000708;-0.000736;-0.000639;-0.000660;-0.000685;-0.000451;-0.000389;-0.000207;0.000000;0.000002;0.000218;0.000277;0.000427;0.000403;0.000554;0.000755;0.000899;0.001051;0.000752
563.3;0.7697;-0.004108;-0.004560;-0.004414;-0.004366;-0.004581;-0.004425;-0.004018;-0.003482;-0.002817;-0.002181;-0.001931;-0.001580;-0.001274;-0.001123;-0.000889;-0.000699;-0.000610;-0.000611;-0.000621;-0.000449;-0.000641;-0.000489;-0.000414;-0.000232;-0.000209;0.000000;0.000052;0.000126;0.000303;0.000355;0.000564;0.000578;0.000734;0.000894;0.001149;0.001299
567.4;0.7772;-0.003966;-0.004319;-0.004340;-0.004454;-0.004662;-0.004113;-0.003728;-0.003320;-0.002869;-0.002087;-0.001863;-0.001482;-0.001263;-0.001110;-0.000978;-0.000882;-0.000815;-0.000692;-0.000514;-0.000719;-0.000585;-0.000559;-0.000426;-0.000336;-0.000228;0.000000;0.000007;0.000200;0.000296;0.000351;0.000455;0.000579;0.000695;0.000882;0.001088;0.000973
571.3;0.7823;-0.004062;-0.004480;-0.004454;-0.004335;-0.004420;-0.004167;-0.003777;-0.003424;-0.002921;-0.002329;-0.001936;-0.001571;-0.001348;-0.001161;-0.001018;-0.000846;-0.000683;-0.000701;-0.000732;-0.000522;-0.000733;-0.000663;-0.000524;-0.000398;-0.000266;0.000000;-0.000044;0.000161;0.000271;0.000358;0.000397;0.000509;0.000697;0.000748;0.000970;0.000932
575.3;0.7842;-0.003476;-0.003912;-0.003845;-0.003873;-0.004211;-0.003953;-0.003566;-0.003040;-0.002424;-0.001822;-0.001566;-0.001296;-0.000958;-0.000842;-0.000683;-0.000528;-0.000529;-0.000501;-0.000502;-0.000474;-0.000527;-0.000408;-0.000343;-0.000180;-0.000160;0.000000;0.000150;0.000189;0.000289;0.000376;0.000551;0.000581;0.000710;0.000811;0.001123;0.001284
579;0.7855;-0.003311;-0.003721;-0.003802;-0.003859;-0.004018;-0.003571;-0.003217;-0.002898;-0.002435;-0.001783;-0.001548;-0.001204;-0.000983;-0.000883;-0.000770;-0.000725;-0.000635;-0.000573;-0.000520;-0.000661;-0.000584;-0.000551;-0.000431;-0.000340;-0.000238;0.000000;0.000049;0.000249;0.000314;0.000369;0.000373;0.000452;0.000602;0.000705;0.000931;0.000750
582.4;0.7801;-0.003052;-0.003507;-0.003476;-0.003398;-0.003584;-0.003448;-0.003083;-0.002733;-0.002149;-0.001651;-0.001366;-0.001079;-0.000829;-0.000661;-0.000581;-0.000475;-0.000364;-0.000457;-0.000596;-0.000390;-0.000565;-0.000530;-0.000410;-0.000286;-0.000213;0.000000;0.000084;0.000145;0.000281;0.000312;0.000389;0.000400;0.000538;0.000622;0.000827;0.000940
586.6;0.7709;0.001184;0.000761;0.000708;0.000604;0.000148;0.000177;0.000345;0.000559;0.000786;0.001052;0.000914;0.000922;0.000921;0.000840;0.000821;0.000687;0.000482;0.000399;0.000218;0.000038;-0.000144;-0.000126;-0.000223;-0.000115;-0.000153;0.000000;-0.000010;-0.000082;0.000002;-0.000143;-0.000084;-0.000122;-0.000129;-0.000058;0.000056;0.000264
590.5;0.7571;0.001479;0.001129;0.000963;0.000731;0.000424;0.000566;0.000810;0.000861;0.000978;0.001264;0.001171;0.001126;0.001161;0.000962;0.000897;0.000708;0.000505;0.000364;0.000187;-0.000054;-0.000122;-0.000205;-0.000221;-0.000202;-0.000171;0.000000;-0.000032;0.000061;-0.000035;-0.000102;-0.000152;-0.000228;-0.000122;-0.000140;0.000045;-0.000027
594.5;0.7389;0.001672;0.001212;0.001098;0.001004;0.000715;0.000733;0.000850;0.000936;0.001171;0.001336;0.001249;0.001234;0.001139;0.001137;0.000979;0.000803;0.000589;0.000377;0.000182;0.000024;-0.000193;-0.000230;-0.000229;-0.000229;-0.000185;0.000000;-0.000004;-0.000024;-0.000021;-0.000114;-0.000146;-0.000179;-0.000146;-0.000131;-0.000039;0.000001
598.9;0.7177;0.001744;0.001293;0.001232;0.001078;0.000645;0.000738;0.000947;0.001131;0.001311;0.001577;0.001395;0.001413;0.001350;0.001170;0.001074;0.000870;0.000653;0.000450;0.000277;-0.000013;-0.000167;-0.000171;-0.000189;-0.000196;-0.000154;0.000000;-0.000038;0.000037;-0.000001;-0.000092;-0.000073;-0.000169;-0.000170;-0.000107;0.000042;0.000168
603.5;0.7041;0.001700;0.001271;0.001092;0.000943;0.000642;0.000792;0.000960;0.001033;0.001178;0.001422;0.001353;0.001307;0.001219;0.001119;0.000969;0.000749;0.000559;0.000269;0.000056;-0.000113;-0.000263;-0.000355;-0.000339;-0.000329;-0.000277;0.000000;-0.000069;0.000027;-0.000026;-0.000093;-0.000173;-0.000246;-0.000141;-0.000176;-0.000018;-0.000120
607.8;0.6987;0.001709;0.001215;0.001131;0.001059;0.000689;0.000716;0.000857;0.001012;0.001277;0.001449;0.001363;0.001373;0.001288;0.001184;0.001068;0.000854;0.000628;0.000395;0.000156;0.000013;-0.000265;-0.000251;-0.000274;-0.000274;-0.000183;0.000000;0.000039;0.000024;0.000028;-0.000038;-0.000100;-0.000092;-0.000080;-0.000091;-0.000003;0.000108
612.5;0.701;0.001607;0.001152;0.001067;0.000931;0.000564;0.000731;0.000896;0.001068;0.001274;0.001529;0.001423;0.001401;0.001350;0.001154;0.001076;0.000824;0.000614;0.000406;0.000158;-0.000054;-0.000218;-0.000264;-0.000257;-0.000217;-0.000178;0.000000;0.000027;0.000118;0.000088;0.000011;-0.000032;-0.000089;-0.000060;-0.000020;0.000078;0.000094
616.9;0.7042;0.001496;0.000937;0.000819;0.000726;0.000439;0.000572;0.000742;0.000898;0.001113;0.001366;0.001257;0.001265;0.001199;0.001076;0.000914;0.000766;0.000546;0.000314;0.000097;-0.000085;-0.000259;-0.000313;-0.000334;-0.000308;-0.000223;0.000000;0.000065;0.000139;0.000081;0.000053;-0.000007;-0.000039;-0.000043;-0.000028;0.000088;-0.000039
621.2;0.7058;0.001397;0.000858;0.000802;0.000718;0.000332;0.000415;0.000598;0.000786;0.001046;0.001277;0.001194;0.001153;0.001120;0.000981;0.000882;0.000715;0.000485;0.000290;0.000030;-0.000153;-0.000316;-0.000383;-0.000367;-0.000308;-0.000227;0.000000;0.000084;0.000117;0.000137;0.000062;0.000044;-0.000025;-0.000028;-0.000007;0.000091;0.000147
625.7;0.7093;0.001210;0.000745;0.000643;0.000541;0.000255;0.000437;0.000632;0.000756;0.000994;0.001270;0.001158;0.001166;0.001168;0.000970;0.000895;0.000702;0.000443;0.000267;0.000011;-0.000178;-0.000333;-0.000416;-0.000357;-0.000324;-0.000220;0.000000;0.000029;0.000135;0.000136;0.000080;0.000029;-0.000050;-0.000040;-0.000021;0.000102;0.000178
629.9;0.7126;0.001177;0.000693;0.000594;0.000499;0.000177;0.000296;0.000466;0.000700;0.000942;0.001211;0.001155;0.001144;0.001131;0.000996;0.000893;0.000692;0.000469;0.000221;0.000021;-0.000172;-0.000376;-0.000384;-0.000346;-0.000306;-0.000213;0.000000;0.000120;0.000169;0.000193;0.000177;0.000109;0.000066;0.000032;0.000054;0.000194;0.000247
634.2;0.7141;0.000944;0.000483;0.000380;0.000279;-0.000061;0.000106;0.000302;0.000545;0.000810;0.001115;0.001038;0.001063;0.001040;0.000899;0.000759;0.000534;0.000383;0.000153;-0.000064;-0.000280;-0.000412;-0.000409;-0.000384;-0.000355;-0.000247;0.000000;0.000112;0.000185;0.000167;0.000126;0.000107;0.000023;0.000050;0.000022;0.000193;0.000029
638.5;0.7135;0.000852;0.000328;0.000216;0.000130;-0.000137;-0.000020;0.000201;0.000404;0.000698;0.000976;0.000954;0.001018;0.000933;0.000859;0.000712;0.000542;0.000334;0.000085;-0.000146;-0.000287;-0.000448;-0.000483;-0.000443;-0.000408;-0.000288;0.000000;0.000088;0.000147;0.000211;0.000136;0.000111;0.000034;0.000064;0.000015;0.000184;0.000339
643;0.7124;0.000633;0.000098;0.000078;-0.000003;-0.000305;-0.000130;0.000151;0.000378;0.000647;0.000939;0.000930;0.000928;0.000885;0.000789;0.000687;0.000494;0.000309;0.000051;-0.000112;-0.000364;-0.000433;-0.000475;-0.000470;-0.000394;-0.000299;0.000000;0.000085;0.000187;0.000195;0.000137;0.000124;0.000017;0.000045;0.000048;0.000217;0.000158
647.3;0.7085;0.000673;0.000199;0.000116;0.000098;-0.000182;-0.000012;0.000212;0.000435;0.000676;0.000979;0.000928;0.000956;0.000889;0.000785;0.000712;0.000541;0.000337;0.000073;-0.000174;-0.000308;-0.000467;-0.000467;-0.000466;-0.000382;-0.000253;0.000000;0.000157;0.000245;0.000264;0.000222;0.000252;0.000110;0.000129;0.000094;0.000223;0.000261
651.9;0.6988;0.000583;0.000063;0.000026;-0.000042;-0.000394;-0.000275;-0.000043;0.000278;0.000595;0.000884;0.000856;0.000917;0.000839;0.000710;0.000643;0.000483;0.000247;0.000022;-0.000183;-0.000294;-0.000504;-0.000459;-0.000425;-0.000367;-0.000253;0.000000;0.000204;0.000255;0.000278;0.000212;0.000250;0.000091;0.000105;0.000130;0.000281;0.000507
656.3;0.6876;0.000622;0.000151;0.000034;-0.000036;-0.000313;-0.000081;0.000170;0.000430;0.000698;0.000968;0.000921;0.000994;0.000923;0.000811;0.000674;0.000503;0.000335;0.000036;-0.000127;-0.000319;-0.000417;-0.000414;-0.000456;-0.000357;-0.000230;0.000000;0.000214;0.000336;0.000368;0.000330;0.000298;0.000211;0.000203;0.000196;0.000344;0.000208
661.1;0.6783;0.000544;-0.000035;-0.000134;-0.000163;-0.000373;-0.000286;-0.000051;0.000209;0.000504;0.000739;0.000776;0.000827;0.000747;0.000629;0.000541;0.000463;0.000208;-0.000056;-0.000281;-0.000372;-0.000573;-0.000564;-0.000516;-0.000463;-0.000286;0.000000;0.000146;0.000248;0.000230;0.000217;0.000238;0.000141;0.000151;0.000131;0.000250;0.000391
665.7;0.6731;0.000502;0.000016;-0.000011;-0.000075;-0.000459;-0.000307;-0.000028;0.000340;0.000635;0.000891;0.000863;0.000905;0.000846;0.000711;0.000642;0.000485;0.000219;0.000035;-0.000211;-0.000361;-0.000499;-0.000515;-0.000462;-0.000353;-0.000293;0.000000;0.000210;0.000266;0.000335;0.000278;0.000303;0.000175;0.000159;0.000152;0.000295;0.000402
670;0.6724;0.000263;-0.000190;-0.000314;-0.000375;-0.000584;-0.000263;-0.000047;0.000229;0.000462;0.000744;0.000721;0.000766;0.000726;0.000573;0.000523;0.000360;0.000134;-0.000055;-0.000309;-0.000494;-0.000603;-0.000599;-0.000565;-0.000475;-0.000345;0.000000;0.000121;0.000336;0.000286;0.000262;0.000217;0.000100;0.000087;0.000072;0.000167;0.000036
674.2;0.6674;0.000400;-0.000172;-0.000189;-0.000121;-0.000402;-0.000395;-0.000154;0.000169;0.000530;0.000756;0.000761;0.000819;0.000775;0.000769;0.000648;0.000518;0.000194;-0.000090;-0.000362;-0.000365;-0.000587;-0.000589;-0.000582;-0.000507;-0.000332;0.000000;0.000190;0.000201;0.000274;0.000210;0.000229;0.000124;0.000072;0.000074;0.000119;0.000300
678.8;0.66;0.000303;-0.000021;-0.000060;-0.000184;-0.000490;-0.000242;0.000122;0.000416;0.000721;0.001021;0.000932;0.000979;0.001028;0.000826;0.000774;0.000534;0.000352;0.000120;-0.000149;-0.000380;-0.000420;-0.000467;-0.000405;-0.000304;-0.000252;0.000000;0.000206;0.000325;0.000354;0.000267;0.000250;0.000047;0.000107;0.000018;0.000174;0.000242
683;0.6467;0.000318;-0.000133;-0.000221;-0.000220;-0.000321;-0.000116;0.000092;0.000287;0.000582;0.000793;0.000862;0.000859;0.000823;0.000841;0.000624;0.000575;0.000304;-0.000088;-0.000313;-0.000435;-0.000638;-0.000648;-0.000571;-0.000537;-0.000322;0.000000;0.000120;0.000328;0.000247;0.000211;0.000141;0.000001;-0.000036;-0.000082;-0.000087;-0.000181
687.3;0.6242;0.000302;-0.000049;0.000037;0.000097;-0.000248;-0.000228;0.000083;0.000465;0.000876;0.001092;0.001127;0.001171;0.001102;0.001082;0.000950;0.000770;0.000496;0.000117;-0.000134;-0.000208;-0.000436;-0.000375;-0.000405;-0.000382;-0.000243;0.000000;0.000313;0.000233;0.000274;0.000123;0.000226;0.000011;-0.000028;-0.000109;-0.000023;0.000086
691.5;0.5917;0.000327;0.000138;0.000077;-0.000002;-0.000310;0.000054;0.000384;0.000716;0.000940;0.001286;0.001184;0.001197;0.001214;0.001124;0.000985;0.000680;0.000433;0.000208;0.000014;-0.000365;-0.000335;-0.000466;-0.000440;-0.000375;-0.000336;0.000000;0.000111;0.000332;0.000313;0.000217;0.000166;-0.000103;-0.000160;-0.000223;-0.000176;-0.000153
695.5;0.547;0.000330;-0.000015;0.000001;0.000098;0.000012;0.000103;0.000334;0.000615;0.000951;0.001092;0.001209;0.001183;0.001086;0.001083;0.000927;0.000878;0.000512;0.000081;-0.000258;-0.000275;-0.000607;-0.000586;-0.000608;-0.000500;-0.000391;0.000000;0.000124;0.000133;0.000142;-0.000004;-0.000029;-0.000199;-0.000254;-0.000403;-0.000300;-0.000411
699.6;0.4884;0.000811;0.000504;0.000611;0.000593;0.000190;0.000228;0.000601;0.001056;0.001403;0.001604;0.001527;0.001676;0.001554;0.001466;0.001416;0.001032;0.000654;0.000406;0.000089;-0.000125;-0.000296;-0.000332;-0.000360;-0.000309;-0.000214;0.000000;0.000243;0.000195;0.000291;0.000035;0.000128;-0.000109;-0.000228;-0.000249;-0.000240;0.000090
703.6;0.4133;0.000599;0.000438;0.000353;0.000223;0.000105;0.000553;0.000820;0.001028;0.001208;0.001537;0.001492;0.001518;0.001483;0.001324;0.001169;0.000948;0.000624;0.000339;0.000072;-0.000318;-0.000356;-0.000425;-0.000482;-0.000429;-0.000337;0.000000;-0.000040;0.000307;0.000144;0.000099;-0.000160;-0.000358;-0.000428;-0.000498;-0.000544;-0.000608
707.9;0.3142;0.001082;0.000580;0.000618;0.000792;0.000538;0.000471;0.000718;0.001063;0.001378;0.001538;0.001539;0.001567;0.001575;0.001551;0.001339;0.001210;0.000750;0.000417;0.000026;-0.000059;-0.000461;-0.000539;-0.000543;-0.000412;-0.000378;0.000000;0.000072;0.000124;0.000081;-0.000009;-0.000046;-0.000261;-0.000312;-0.000534;-0.000477;-0.000509
712.1;0.1919;0.000745;0.000618;0.000719;0.000629;0.000267;0.000467;0.000876;0.001351;0.001609;0.001944;0.001782;0.001809;0.001824;0.001740;0.001554;0.001203;0.000793;0.000698;0.000295;0.000004;-0.000173;-0.000297;-0.000306;-0.000327;-0.000204;0.000000;0.000257;0.000197;0.000260;0.000077;-0.000082;-0.000290;-0.000433;-0.000556;-0.000539;-0.000263
