landa;clean water;T_0;T_1;T_2;T_3;T_4;T_5;T_6;T_7;T_8;T_9;T_10;T_11;T_12;T_13;T_14;T_15;T_16;T_17;T_18;T_19;T_20;T_21;T_22;T_23;T_24;T_25;T_26;T_27;T_28;T_29;T_30;T_31;T_32;T_33;T_34;T_35
514;1.2641;-0.01401;-0.01232;-0.01099;-0.00981;-0.00897;-0.008;-0.00726;-0.00659;-0.00533;-0.00418;-0.00316;-0.00234;-0.00185;-0.0018;-0.00136;-0.00095;-0.00067;-0.00109;-0.00089;-0.00066;-0.00047;-0.00041;-0.00025;-0.00007;0.0001;0;0.00038;0.00042;0.00063;0.00081;0.00053;0.00072;0.00062;0.00054;0.00048;0.00024
518.9;1.2905;-0.01387;-0.01225;-0.01097;-0.00986;-0.009;-0.00805;-0.00736;-0.00669;-0.00542;-0.00434;-0.00342;-0.00261;-0.00201;-0.00204;-0.0015;-0.0012;-0.00099;-0.00114;-0.0011;-0.00074;-0.00072;-0.00054;-0.00046;-0.00015;0.00001;0;0.00034;0.00037;0.00057;0.00072;0.00057;0.00079;0.00063;0.00057;0.00042;0.00047
523.5;1.3164;-0.01359;-0.01206;-0.01079;-0.0097;-0.00891;-0.00804;-0.00737;-0.00665;-0.0055;-0.00449;-0.00355;-0.00278;-0.00214;-0.00217;-0.00178;-0.00131;-0.00106;-0.0013;-0.00111;-0.00086;-0.00067;-0.00059;-0.00055;-0.00013;-0.00006;0;0.00025;0.00042;0.00057;0.00074;0.00061;0.00078;0.00067;0.00064;0.0005;0.00045
527.9;1.3418;-0.0131;-0.01167;-0.01048;-0.00948;-0.00868;-0.00783;-0.00718;-0.00652;-0.00545;-0.00452;-0.00355;-0.00282;-0.00229;-0.00219;-0.00179;-0.00137;-0.00118;-0.00133;-0.00116;-0.00091;-0.00078;-0.00066;-0.0006;-0.00017;-0.00003;0;0.00027;0.0004;0.00061;0.00075;0.00077;0.00076;0.00073;0.00073;0.00068;0.00042
532.2;1.3664;-0.01265;-0.01134;-0.01023;-0.00924;-0.0085;-0.0077;-0.00711;-0.00647;-0.00544;-0.00453;-0.0036;-0.00303;-0.00241;-0.00222;-0.00187;-0.00141;-0.00135;-0.0014;-0.00128;-0.00097;-0.00093;-0.00067;-0.00073;-0.00022;-0.00006;0;0.00032;0.00045;0.0006;0.00075;0.00075;0.0008;0.00082;0.00076;0.00072;0.0007
536.5;1.3895;-0.01205;-0.01078;-0.00973;-0.00889;-0.00811;-0.00739;-0.00678;-0.00627;-0.00531;-0.00442;-0.00362;-0.00304;-0.00237;-0.00225;-0.00188;-0.0016;-0.00144;-0.00145;-0.00128;-0.00107;-0.00095;-0.00079;-0.00063;-0.00031;-0.00025;0;0.00025;0.00039;0.0006;0.00072;0.00074;0.00069;0.00079;0.00082;0.00076;0.00069
540.6;1.4114;-0.01176;-0.01053;-0.00951;-0.00864;-0.00794;-0.00725;-0.00665;-0.00614;-0.00525;-0.00447;-0.00362;-0.003;-0.00248;-0.00231;-0.00192;-0.00169;-0.00143;-0.00147;-0.0013;-0.00112;-0.001;-0.00076;-0.0007;-0.00035;-0.00019;0;0.00018;0.00034;0.0006;0.00073;0.00078;0.00076;0.00089;0.0008;0.00079;0.00038
544.9;1.4323;-0.01133;-0.01018;-0.00918;-0.00838;-0.00771;-0.00712;-0.00646;-0.006;-0.00518;-0.00441;-0.00372;-0.00311;-0.00261;-0.00231;-0.00196;-0.00177;-0.00158;-0.0015;-0.00132;-0.0012;-0.00112;-0.00087;-0.00076;-0.00042;-0.00027;0;0.00015;0.00041;0.00056;0.0007;0.00085;0.00083;0.00088;0.00089;0.00079;0.00102
549.3;1.4521;-0.01082;-0.00969;-0.00878;-0.00803;-0.00741;-0.00679;-0.00621;-0.00579;-0.005;-0.00426;-0.00363;-0.00309;-0.00262;-0.00238;-0.00202;-0.00182;-0.00162;-0.00157;-0.00131;-0.00126;-0.00114;-0.0009;-0.00085;-0.00053;-0.00029;0;0.0001;0.00034;0.00059;0.00068;0.00072;0.00079;0.00086;0.00081;0.00076;0.00094
553.8;1.4714;-0.01039;-0.00929;-0.00844;-0.00771;-0.00708;-0.00651;-0.006;-0.0056;-0.00483;-0.00422;-0.00355;-0.00309;-0.00266;-0.00239;-0.00199;-0.00183;-0.00162;-0.00161;-0.0014;-0.00132;-0.00114;-0.00098;-0.00085;-0.00056;-0.00031;0;0.00008;0.00029;0.00049;0.00062;0.00069;0.00073;0.00086;0.00079;0.00078;0.00092
558.2;1.4904;-0.00982;-0.0088;-0.00795;-0.0073;-0.0067;-0.0062;-0.00569;-0.00529;-0.00459;-0.00398;-0.0035;-0.00307;-0.00255;-0.0024;-0.00198;-0.00178;-0.00161;-0.00157;-0.00131;-0.00125;-0.00115;-0.00088;-0.00079;-0.00053;-0.00033;0;0.00008;0.00029;0.00045;0.00065;0.00063;0.00074;0.0008;0.00082;0.00078;0.00097
562.3;1.5081;-0.00949;-0.00843;-0.00762;-0.007;-0.00642;-0.00586;-0.00538;-0.00509;-0.00443;-0.00383;-0.00339;-0.00299;-0.00246;-0.0023;-0.00193;-0.00175;-0.00157;-0.00145;-0.00131;-0.00122;-0.00108;-0.00084;-0.00074;-0.00051;-0.00037;0;0.00014;0.00032;0.00049;0.0006;0.00061;0.00073;0.00079;0.00077;0.00075;0.001
566.8;1.5246;-0.00909;-0.00807;-0.00734;-0.0067;-0.00616;-0.00567;-0.00519;-0.00485;-0.0042;-0.00363;-0.00323;-0.00277;-0.00231;-0.00219;-0.00184;-0.00168;-0.00145;-0.00133;-0.0012;-0.00115;-0.00105;-0.00081;-0.00069;-0.00047;-0.00031;0;0.00011;0.00029;0.00051;0.00057;0.00054;0.00068;0.00072;0.00079;0.00071;0.00097
570.5;1.5385;-0.00874;-0.00775;-0.00708;-0.00644;-0.00595;-0.00543;-0.00498;-0.00459;-0.00403;-0.00348;-0.003;-0.00252;-0.00215;-0.002;-0.00175;-0.0016;-0.00137;-0.00129;-0.00111;-0.00119;-0.001;-0.0008;-0.00069;-0.0005;-0.00036;0;0.00006;0.00027;0.00041;0.00051;0.00043;0.00057;0.00063;0.00062;0.00056;0.0006
574.2;1.5499;-0.00852;-0.00755;-0.00687;-0.00626;-0.0057;-0.0052;-0.00474;-0.0044;-0.00383;-0.00326;-0.00281;-0.00236;-0.00203;-0.00181;-0.00159;-0.00145;-0.0012;-0.00115;-0.00105;-0.00106;-0.00097;-0.00076;-0.00058;-0.00046;-0.00036;0;0.00002;0.00023;0.00035;0.00047;0.00032;0.00056;0.00048;0.00049;0.00044;0.00066
578.1;1.5578;-0.00831;-0.00738;-0.00669;-0.00607;-0.00552;-0.00508;-0.00459;-0.00425;-0.00364;-0.003;-0.00254;-0.0022;-0.00172;-0.00162;-0.00134;-0.00122;-0.001;-0.00102;-0.0009;-0.0009;-0.00086;-0.00065;-0.0005;-0.0004;-0.00032;0;0.00003;0.00024;0.00028;0.00042;0.0003;0.00046;0.00042;0.00038;0.00033;0.00053
581.9;1.5623;-0.00834;-0.00736;-0.00663;-0.00596;-0.0054;-0.00488;-0.00448;-0.00408;-0.0034;-0.00278;-0.00234;-0.0019;-0.00145;-0.00138;-0.00107;-0.00097;-0.0008;-0.0008;-0.00071;-0.00074;-0.00073;-0.00059;-0.00048;-0.0004;-0.00029;0;-0.00002;0.00023;0.00026;0.00034;0.00014;0.00034;0.00032;0.00026;0.00023;0.00012
584.9;1.5713;-0.01184;-0.00977;-0.00843;-0.00727;-0.00639;-0.00553;-0.0049;-0.00424;-0.00313;-0.002;-0.00122;-0.00054;-0.00002;0.00004;0.0002;0.00031;0.00048;0.00031;0.00036;0.00025;0.00017;0.00013;0.00011;0.00008;-0.00002;0;-0.00009;-0.00007;-0.00024;-0.00024;-0.00071;-0.00065;-0.00084;-0.00104;-0.00124;-0.00158
